web-scraper-order,web-scraper-start-url,imageUrl-src,title,ratingAndTime,category,area
"1738075745-91","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/d679c532ca07a6f3fd6d89d603861412","Gourmet Ice Cream Cakes by Baskin Robbins","4.8 • 20-25 mins","Ice Cream Cakes, Desserts, Ice Cream, Bakery","Hinjawadi"
"1738075745-92","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/12/31/62da08b9-d583-44a9-b6be-a18999f90281_587388.jpg","Uncle Peter's Pancakes","3.5 • 25-30 mins","Desserts, Continental, American, French, Beverages","Hinjawadi"
"1738075745-93","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/21/516c53a1-441a-4803-bab4-c0a94cd3c5ff_1030709.jpg","Monginis Cake Shop","30-35 mins","Bakery, Kebabs, Pizzas, Burgers","Ravet"
"1738075745-94","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/08e14182422ec9399c65c9df84099434","Crazy Cheesy","4.2 • 30-35 mins","Fast Food, Pizzas, Snacks, Desserts, Beverages","Wakad"
"1738075745-95","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ptn43tfzplwyiprsjnwy","Desi Dhaba","4.2 • 20-25 mins","North Indian, Chinese","Hinjewadi"
"1738075745-96","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ed260f7fa6719ae20751b262db5dc037","Amore Gelato - Italian Ice Cream","4.1 • 15-20 mins","Desserts, Bakery","Hinjewadi"
"1738075745-97","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/17/0c7f7554-e361-4642-bc6b-3dc5d5346e1d_491971.jpg","BOX8 - Desi Meals","4.5 • 20-30 mins","North Indian, Biryani, Thalis, Home Food","Mulshi Road"
"1738075745-98","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ftixq3pzg5kcis9uga1k","Apricot Veg","4.4 • 35-40 mins","Chinese","Wakad"
"1738075745-99","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/8/8/0a9903e6-2a26-4760-be57-d94a8dd28ce0_938271.jpg","Anna Idli","4.3 • 25-30 mins","South indian, Beverages, Desserts","W-BIZ BUILDING"
"1738075745-100","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/bbfwnddaaob5adft2k4x","Cake Point","2.5 • 25-30 mins","Bakery","Hinjawadi"
"1738075745-101","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/12/21/50b71f2b-581b-4c5e-9334-4a7d73458d4c_1012786.jpg","Chinese Express","25-30 mins","Chinese, Fast Food, Cafe","Hinjewadi"
"1738075745-102","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/7257ca85e4fed25c3833c1b0bd049e62","Momos Point","3.8 • 30-35 mins","Chinese","Ravet"
"1738075745-103","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/6/40b2314c-10ed-4c2c-9b9d-b15cb2fd5953_585867.jpg","Champaran The Handi House","4.1 • 30-35 mins","North Indian","Wakad"
"1738075745-104","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/76162692632a957838b23a020bc9ca73","Radha Pure Veg","4.2 • 30-35 mins","Indian, South Indian, Fast Food, Chinese, Street Food, Juices, Beverages","Nigdi"
"1738075745-105","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/iujdgczww7oxjjuv0jxz","Hotel Vijay - The Taste Of Tamil Nadu","4.4 • 20-25 mins","South Indian, Snacks, Fast Food, Indian, Beverages","Hinjawadi"
"1738075745-106","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/20/be8bf96f-a682-4aae-b0c0-c7c7c33447fb_481556 (1).jpg","Cupameal","4.4 • 25-30 mins","North Indian, Punjabi, Desserts, Beverages","Wakad"
"1738075745-107","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/fshj7zqbfd6sr94xuxqb","Le Stone","4.3 • 30-35 mins","Indian, Continental","Ravet"
"1738075745-108","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ykse7w9a9ykwgwp8n23r","Hotel Gavran Tadaka","4.3 • 30-35 mins","Thalis, Maharashtrian, Biryani","Ravet"
"1738075745-109","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/t75cewfmn6nhtlureo8g","Taste of Indore (Since 2018)","4.6 • 25-30 mins","Street Food, Chaat, Sweets, Snacks, Fast Food, Beverages, Indian","Wakad"
"1738075745-110","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/fs4sif63hxoeojb0x1xl","Lad Restaurant","4.4 • 25-30 mins","Maharashtrian","Wakad"
"1738075745-111","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/bogquacmqat7myu2jdxu","Balaji Pure Veg Vasu's (Ravet)","4.5 • 35-40 mins","North Indian, South Indian, Chinese, Indian, Snacks, Beverages, Fast Food","Ravet"
"1738075745-112","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b570cd6455a2afa93254c70fbc1c5ec4","VISHWANATH PALACE","4.4 • 25-30 mins","Indian, Chinese, South Indian, Juices, Beverages, Snacks","Wakad"
"1738075745-113","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/hgo9p906kudrkyvqhqpq","SKS Katthi Kabab Rolls","4.3 • 30-35 mins","Rolls & Wraps, Biryani, Chinese, Kebabs, North Indian, Beverages","Nigdi"
